pop.,store,season,GRP,weighted,delivery,daily,cost,Active
520662,0,1.27,283.6,82,104,2.6451612903,140,52
612091,0,1.27,187.6,62,79,2,150,55
210055,0,1.27,187.6,24,30,0.7741935484,150,55
75419,0,1.27,246.4,13,17,0.4193548387,190,55
214397,0,1.27,290.4,41,52,1.3225806452,190,55
246348,0,1.27,375.5,12,15,0.3870967742,190,55
415640,0,1.27,196.3,108,137,3.4838709677,250,52
592069,0,1.27,332.4,76,96,2.4516129032,190,55
311635,0,1.27,180,25,32,0.8064516129,150,52
348256,0,1.27,232.6,67,85,2.1612903226,130,52
1021244,0,1.27,279,98,125,3.1612903226,140,52
170621,0,1.27,235.7,9,11,0.2903225806,140,52
314436,0,1.27,279,24,31,0.7741935484,140,52
301642,0,1.27,325.8,93,118,3,130,46
80013,0,1.27,403.4,16,20,0.5161290323,140,46
56928,0,1.27,184,14,18,0.4516129032,150,55
70133,0,1.27,376.7,4,5,0.1290322581,130,52
409277,0,1.27,145.2,72,92,2.3225806452,250,52
628116,0,1.27,291.3,98,124,3.1612903226,140,51
248688,0,1.27,209.5,22,28,0.7096774194,140,51
587225,0,1.27,375.5,112,142,3.6129032258,190,55
431491,0,1.27,317,14,18,0.4516129032,140,46
325185,0,1.27,322.5,135,172,4.3548387097,250,52
532884,0,1.27,273.8,140,178,4.5161290323,150,55
473668,0,1.27,191.4,21,27,0.6774193548,140,52
80584,0,1.27,376.7,11,14,0.3548387097,130,52
263906,0,1.27,410.2,39,49,1.2580645161,350,55
268617,0,1.27,223.2,58,74,1.8709677419,130,52
973891,0,1.27,498.4,106,134,3.4193548387,150,55
333640,0,1.27,193.4,48,61,1.5483870968,150,50
414595,0,1.27,266,78,99,2.5161290323,150,52
109906,0,1.27,149.3,12,15,0.3870967742,150,55
508124,0,1.27,341.5,94,120,3.0322580645,130,52
408401,0,1.27,284.2,46,59,1.4838709677,150,50
577990,0,1.27,180.8,35,44,1.1290322581,150,52
307664,0,1.27,416.7,275,349,8.8709677419,140,46
513242,0,1.27,434.5,24,31,0.7741935484,140,51
240095,0,1.27,137.4,22,28,0.7096774194,150,52
159695,0,1.27,332.4,14,18,0.4516129032,190,55
61746,0,1.27,690.6,21,27,0.6774193548,380,55
251860,0,1.27,1761.2,47,60,1.5161290323,150,50
361883,0,1.27,384.2,20,26,0.6451612903,150,50
547885,0,1.27,273.8,72,91,2.3225806452,150,55
